time_iso8601,stars_cumulative
2023-08-02 00:00:00+00:00,15
2023-08-03 00:00:00+00:00,18
2023-08-04 00:00:00+00:00,20
2023-08-05 00:00:00+00:00,21
2023-08-08 00:00:00+00:00,22
2023-08-09 00:00:00+00:00,25
2023-08-11 00:00:00+00:00,29
2023-08-12 00:00:00+00:00,30
