time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-01 00:00:00+00:00,150.0,1.0,804,6
2023-08-02 00:00:00+00:00,90.0,27.0,1047,50
2023-08-03 00:00:00+00:00,114.0,10.0,944,34
2023-08-04 00:00:00+00:00,99.0,12.0,534,26
2023-08-05 00:00:00+00:00,26.0,8.0,225,11
2023-08-06 00:00:00+00:00,35.0,10.0,417,14
2023-08-07 00:00:00+00:00,64.0,9.0,510,21
2023-08-08 00:00:00+00:00,66.0,8.0,470,17
2023-08-09 00:00:00+00:00,46.0,7.0,528,27
2023-08-10 00:00:00+00:00,66.0,9.0,447,21
2023-08-11 00:00:00+00:00,65.0,12.0,453,29
2023-08-12 00:00:00+00:00,29.0,6.0,163,12
2023-08-13 00:00:00+00:00,9.0,4.0,68,8
2023-08-14 00:00:00+00:00,138.0,16.0,801,26
2023-08-15 00:00:00+00:00,,,32,1
