referrer,views_total,views_unique
github.com,579,20
superduperdb.com,64,9
Google,33,7
test.pypi.org,7,1
linkedin.com,5,3
superduperdb.github.io,5,3
web.telegram.org,3,1
com.linkedin.android,2,1
colab.research.google.com,2,1
awarioweb.com,1,1
