time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-21 00:00:00+00:00,175,2,447,4
2023-07-22 00:00:00+00:00,51,2,474,5
2023-07-23 00:00:00+00:00,71,1,151,5
2023-07-24 00:00:00+00:00,120,2,764,6
2023-07-25 00:00:00+00:00,65,1,536,7
2023-07-26 00:00:00+00:00,89,1,294,7
2023-07-27 00:00:00+00:00,40,2,353,7
2023-07-28 00:00:00+00:00,40,2,279,5
2023-07-29 00:00:00+00:00,25,2,89,5
2023-07-30 00:00:00+00:00,25,1,159,5
2023-07-31 00:00:00+00:00,57,1,470,7
2023-08-01 00:00:00+00:00,150,1,804,6
2023-08-02 00:00:00+00:00,90,27,1047,50
2023-08-03 00:00:00+00:00,114,10,944,34
