time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-28 00:00:00+00:00,40,2,261.0,5.0
2023-07-29 00:00:00+00:00,25,2,89.0,5.0
2023-07-30 00:00:00+00:00,25,1,159.0,5.0
2023-07-31 00:00:00+00:00,57,1,470.0,7.0
2023-08-01 00:00:00+00:00,150,1,804.0,6.0
2023-08-02 00:00:00+00:00,90,27,1047.0,50.0
2023-08-03 00:00:00+00:00,114,10,944.0,34.0
2023-08-04 00:00:00+00:00,99,12,534.0,26.0
2023-08-05 00:00:00+00:00,26,8,225.0,11.0
2023-08-06 00:00:00+00:00,35,10,417.0,14.0
2023-08-07 00:00:00+00:00,64,9,510.0,21.0
2023-08-08 00:00:00+00:00,66,8,470.0,17.0
2023-08-09 00:00:00+00:00,46,7,528.0,27.0
2023-08-10 00:00:00+00:00,66,9,447.0,21.0
2023-08-11 00:00:00+00:00,1,1,,
